instance_name,group,pca_1,pca_2,tsne_1,tsne_2,umap_1,umap_2
iptv-epg_tw_2026-01-07,Instances_IPTV,0.01921724643874556,-0.20591452284317158,-2.7547278,-9.116841,10.771337,2.6417503
iptv-epg_ua_2026-01-04,Instances_IPTV,0.46243994917900666,-0.028120689663963305,28.86502,-5.533546,7.6047487,10.551091
iptv-epg_ua_2026-01-05,Instances_IPTV,0.10822324111614468,-0.28249535290519856,11.917965,-11.91248,8.754336,5.9243245
iptv-epg_ua_2026-01-06,Instances_IPTV,-0.1469126126909387,-0.37294294879609224,6.9876676,-11.297772,9.3359785,4.551829
iptv-epg_ua_2026-01-07,Instances_IPTV,-0.1477240918390781,-0.21225352322984292,-0.9802765,-9.379803,10.435166,2.958517
iptv-epg_ug_2026-01-04,Instances_IPTV,0.4451642311763241,0.12828080491102845,7.3211327,30.162577,19.859743,14.7334385
iptv-epg_ug_2026-01-05,Instances_IPTV,0.4525435875180629,0.16524994499296275,6.380522,29.857897,19.973299,14.92644
iptv-epg_ug_2026-01-06,Instances_IPTV,0.042715525044870084,0.10308973348740014,-15.424023,-9.746593,12.148005,1.0820675
iptv-epg_ug_2026-01-07,Instances_IPTV,0.1016863740820172,0.054526849128043176,-14.170264,-13.163152,12.61036,1.429322
iptv-epg_us_2026-01-04,Instances_IPTV,0.3469523754586047,0.27843662496480515,22.650743,3.123002,9.12311,8.534512
iptv-epg_us_2026-01-05,Instances_IPTV,0.36458414643371195,0.3971082110894433,22.330725,3.5461628,9.093888,8.485427
iptv-epg_us_2026-01-06,Instances_IPTV,0.3514884685504748,0.20341479603094292,22.619284,3.076864,9.15611,8.5585785
iptv-epg_us_2026-01-07,Instances_IPTV,0.3932294469315515,0.2720645698516082,22.61333,3.1459234,9.120994,8.513121
iptv-epg_uy_2026-01-04,Instances_IPTV,0.4491868964024702,0.016093980708679734,30.828337,-5.422241,7.36662,10.742966
iptv-epg_uy_2026-01-05,Instances_IPTV,0.4564020249999451,0.14059043741227706,6.064613,25.878326,19.635439,15.342765
iptv-epg_uy_2026-01-06,Instances_IPTV,0.08812219517433761,0.0376288478950455,-14.0499735,-11.831925,12.437119,1.2387724
iptv-epg_uy_2026-01-07,Instances_IPTV,0.04417553738581359,-0.015281177661756074,-9.119741,-9.979626,11.199453,1.3895224
iptv-epg_ve_2026-01-04,Instances_IPTV,0.36382274995111297,-0.13179393674600415,26.394915,-3.2438762,7.8695207,10.485734
iptv-epg_ve_2026-01-05,Instances_IPTV,0.1952739019137698,-0.23039229701366026,13.077908,-11.652571,8.864066,6.2919717
iptv-epg_ve_2026-01-06,Instances_IPTV,-0.24735456197270922,-0.3687862849917076,0.86985976,-10.490527,10.174865,3.16548
iptv-epg_ve_2026-01-07,Instances_IPTV,-0.24561803216346434,-0.3666296414946161,0.9372213,-10.476994,10.090255,3.2740016
